address,latitude,longitude,kreis_name
"Bahnhofbrücke 1, 8001",47.3764584,8.5423575,Kreis 1
"Uetlibergstrasse 20, 8045",47.3647466,8.5208808,Kreis 3
"Badenerstrasse 15, 8004",47.3733855,8.530586200000002,Kreis 4
"Halle Löwenstrasse, 8021",47.3780422,8.539066799999999,Kreis 1
"Europaallee 5, 8001",47.3780286,8.534917499999999,Kreis 4
"Witikonerstrasse 409, 8053",47.3602128,8.5946664,Kreis 7
"Universitätstrasse 73, 8006",47.38252190000001,8.5478132,Kreis 6
"Zollstrasse 42, 8005",47.3805215,8.5348598,Kreis 5
"Hohlstrasse 35, 8004",47.3771023,8.5265009,Kreis 4
"Universitätstrasse 101, 8006",47.3839665,8.5480536,Kreis 6
"Birmensdorferstrasse 200, 8003",47.3707958,8.5160521,Kreis 3
"Friesenbergplatz 3, 8045",47.360785,8.5065898,Kreis 3
"Badenerstrasse 244, 8004",47.3759271,8.517500799999999,Kreis 4
"Birmensdorferstrasse 310, 8055",47.3699656,8.509094,Kreis 3
"Röntgenstrasse 48, 8005",47.3847527,8.527192099999999,Kreis 5
"Badenerstrasse 333, 8003",47.37771410000001,8.5110951,Kreis 3
"Leimbachstrasse 200, 8041",47.3262341,8.514298499999999,Kreis 2
"Gutstrasse 159, 8047",47.37346950000001,8.502201699999999,Kreis 9
"Maschinenstrasse 10, 8005",47.3875317,8.5168082,Kreis 5
"Milchbuckstrasse 1 - 5, 8057",47.3954544,8.540429699999999,Kreis 6
"Scheffelstrasse 12, 8037",47.3938049,8.5295752,Kreis 10
"Röschibachstrasse 22, 8037",47.393019,8.5249104,Kreis 10
"Giessereistrasse 18, 8005",47.3905,8.517844,Kreis 5
"In der Ey 85, 8047",47.370577,8.4921401,Kreis 9
"Pfingstweidstrasse 106, 8005",47.391393,8.5076692,Kreis 5
"Baslerstrasse 50, 8048",47.3861901,8.4981288,Kreis 9
"Albisriederstrasse 334, 8047",47.3761906,8.487078000000002,Kreis 9
"Saatlenstrasse 12, 8051",47.4048386,8.5718702,Kreis 12
"Schwamendingerstrasse 39 / 41, 8050",47.4076121,8.549945,Kreis 11
"Hirzenbachstrasse 40, 8051",47.4034781,8.5893149,Kreis 12
"Badenerstrasse 650, 8048",47.3875519,8.4890246,Kreis 9
"Wallisellenstrasse 1, 8050",47.4102934,8.5468254,Kreis 11
"Wallisellenstrasse 333, 8050",47.4111982,8.562505699999999,Kreis 12
"Lindenplatz 6, 8048",47.3876386,8.4853846,Kreis 9
"Hofwiesenstrasse 370, 8050",47.4112712,8.5446858,Kreis 11
"Vulkanplatz, 8048",47.3925381,8.4906554,Kreis 9
"Andreasstrasse 5, 8050",47.4129687,8.5474157,Kreis 11
"Sophie-Taeuber-Strasse 4, 8050",47.413017,8.5405912,Kreis 11
"Vulkanstrasse 108 / 110, 8048",47.3936747,8.4839659,Kreis 9
"Regensdorferstrasse 9, 8049",47.4026805,8.4983802,Kreis 10
"Wolfgang-Pauli-Strasse 14, 8049",47.4083915,8.507961,Kreis 10
"Am Suteracher 14, 8048",47.389955,8.4720952,Kreis 9
"Frankentalerstrasse 20, 8049",47.4060321,8.4815884,Kreis 10
"Schwellistrasse 69, 8052",47.4248979,8.537738899999999,Kreis 11
"Wehntalerstrasse 549, 8046",47.4188943,8.5056017,Kreis 11
"Rütihofstrasse 15, 8049",47.41373489999999,8.479611799999999,Kreis 10
"Mühlackerstrasse 199, 8046",47.4255113,8.4969846,Kreis 11
"Seefeldstrasse 199, 8008",47.3532821,8.558858299999999,Kreis 8
"Seefeldstrasse 123, 8008",47.3583766,8.5551051,Kreis 8
"Seefeldstrasse 35, 8008",47.363175,8.549919,Kreis 8
"Forchstrasse 4, 8008",47.3644433,8.554834399999999,Kreis 8
"Stadelhoferstrasse 10, 8001",47.366789,8.5480012,Kreis 1
"Theaterstrasse 18, 8024",47.3672717,8.5461092,Kreis 1
"Klosbachstrasse 104, 8032",47.3678338,8.5608684,Kreis 7
"Seestrasse 339, 8038",47.3472003,8.5331497,Kreis 2
"Bleicherweg 19, 8002",47.3677755,8.535716299999999,Kreis 2
"Tessinerplatz 10, 8002",47.364369,8.530935399999999,Kreis 2
"Bärengasse 16, 8001",47.3700716,8.5371123,Kreis 1
"Alte Kalchbühlstrasse 15, 8038",47.3399334,8.5307593,Kreis 2
"Kalanderplatz 1, 8045",47.3581442,8.5225083,Kreis 3
"Bahnhofstrasse 57, 8001",47.3728798,8.5380649,Kreis 1
"Zürichbergstrasse 75, 8044",47.3763974,8.559651299999999,Kreis 7
