Kreis,Year,Population_density,Zurich_population_density,Kreis_density_over_Zurich_density
1,2022,3255,4821,0.6751711263223398
1,2030,3277,5347,0.6128670282401346
1,2035,3305,5500,0.600909090909091
1,2040,3305,5611,0.589021564783461
1,2045,3305,5700,0.5798245614035088
2,2022,3346,4821,0.6940468782410288
2,2030,3744,5347,0.7002057228352347
2,2035,3834,5500,0.6970909090909091
2,2040,3893,5611,0.693815719123151
2,2045,3943,5700,0.6917543859649122
3,2022,5847,4821,1.2128189172370878
3,2030,6404,5347,1.1976809425846269
3,2035,6601,5500,1.2001818181818182
3,2040,6768,5611,1.2062021030119408
3,2045,6901,5700,1.2107017543859648
4,2022,10231,4821,2.1221738228583282
4,2030,10775,5347,2.015148681503647
4,2035,10913,5500,1.9841818181818183
4,2040,11034,5611,1.9664943860274462
4,2045,11120,5700,1.9508771929824562
5,2022,7983,4821,1.6558805227131301
5,2030,8969,5347,1.6773891902001121
5,2035,9597,5500,1.744909090909091
5,2040,9798,5611,1.7462127962929959
5,2045,9974,5700,1.7498245614035088
6,2022,7031,4821,1.4584111180253059
6,2030,7480,5347,1.3989152795960351
6,2035,7676,5500,1.3956363636363636
6,2040,7833,5611,1.3960078417394404
6,2045,7960,5700,1.3964912280701753
7,2022,2616,4821,0.5426260112009956
7,2030,2846,5347,0.5322610809799888
7,2035,2909,5500,0.5289090909090909
7,2040,2962,5611,0.527891641418642
7,2045,3005,5700,0.5271929824561403
8,2022,3703,4821,0.7680979049989629
8,2030,3939,5347,0.7366747708995699
8,2035,4012,5500,0.7294545454545455
8,2040,4085,5611,0.7280342184993762
8,2045,4137,5700,0.7257894736842105
9,2022,4848,4821,1.0056004978220285
9,2030,5439,5347,1.017205909855994
9,2035,5534,5500,1.0061818181818183
9,2040,5613,5611,1.0003564427018357
9,2045,5679,5700,0.9963157894736843
10,2022,4566,4821,0.9471064094586186
10,2030,4840,5347,0.9051804750327286
10,2035,4950,5500,0.9
10,2040,5038,5611,0.8978791659240777
10,2045,5110,5700,0.8964912280701754
11,2022,5814,4821,1.2059738643434972
11,2030,6713,5347,1.2554703572096502
11,2035,6941,5500,1.262
11,2040,7082,5611,1.2621636072001425
11,2045,7198,5700,1.2628070175438597
12,2022,5519,4821,1.144783239991703
12,2030,6691,5347,1.2513559005049562
12,2035,7051,5500,1.282
12,2040,7336,5611,1.307431830333274
12,2045,7562,5700,1.3266666666666667
